Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,GA_Goals,PKA_Goals,FK_Goals,CK_Goals,OG_Goals,PSxG_Expected,PSxG_per_SoT_Expected,PSxG+_per__minus__Expected,_per_90_Expected,Cmp_Launched,Att_Launched,Cmp_percent_Launched,Att_Passes,Thr_Passes,Launch_percent_Passes,AvgLen_Passes,Att_Goal,Launch_percent_Goal,AvgLen_Goal,Opp_Crosses,Stp_Crosses,Stp_percent_Crosses,#OPA_Sweeper,#OPA_per_90_Sweeper,AvgDist_Sweeper,Url
2020,Bologna,Serie A,Angelo da Costa Júnior,BRA,GK,35,1983,1,1,0,0,0,0,0.9,0.46,-0.1,-0.08,2,4,50,24,4,16.7,28.1,4,0,17.5,3,0,0,1,1,18.8,https://fbref.com/en/players/18736214/Angelo-da-Costa-Junior
2020,Bologna,Serie A,Łukasz Skorupski,POL,GK,28,1991,37,64,6,2,6,1,57.8,0.3,-5.2,-0.14,197,445,44.3,855,216,37.7,35.3,292,42.1,34.8,320,46,14.4,15,0.41,12.9,https://fbref.com/en/players/ab4449d6/Lukasz-Skorupski
2020,Bordeaux,Ligue 1,Benoît Costil,FRA,GK,32,1987,28,34,2,0,4,1,31.3,0.27,-1.7,-0.06,207,446,46.4,642,96,48,38.8,244,56.6,43.7,273,16,5.9,16,0.57,14.5,https://fbref.com/en/players/2434f24a/Benoit-Costil
2020,Bournemouth,Premier League,Aaron Ramsdale,ENG,GK,21,1998,37,62,5,4,5,0,61.6,0.32,-0.4,-0.01,199,655,30.4,835,184,53.7,44.8,289,71.6,58.9,324,20,6.2,17,0.46,14.2,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
2020,Bournemouth,Premier League,Mark Travers,IRL,GK,20,1999,1,3,0,0,0,0,2.6,0.52,-0.4,-0.39,7,13,53.8,24,5,33.3,34.5,8,62.5,45.4,7,0,0,0,0,14.9,https://fbref.com/en/players/fe558029/Mark-Travers
2020,Brescia,Serie A,Enrico Alfonso,ITA,GK,31,1988,3.1,4,0,0,0,0,2,0.18,-2,-0.66,11,32,34.4,51,8,45.1,37,24,37.5,32.8,38,2,5.3,4,1.29,16.3,https://fbref.com/en/players/95adf1e1/Enrico-Alfonso
2020,Brescia,Serie A,Lorenzo Andrenacci,ITA,GK,24,1995,5.9,16,0,1,1,0,13,0.29,-3,-0.5,33,66,50,97,45,33,35.4,66,51.5,43.5,56,1,1.8,2,0.34,12.5,https://fbref.com/en/players/fe471a89/Lorenzo-Andrenacci
2020,Brescia,Serie A,Jesse Joronen,FIN,GK,26,1993,29,59,9,0,9,3,61,0.31,5,0.17,161,422,38.2,573,160,49.7,41.6,276,49.6,42,356,27,7.6,10,0.34,13,https://fbref.com/en/players/7f66ea09/Jesse-Joronen
2020,Brest,Ligue 1,Gautier Larsonneur,FRA,GK,22,1997,26.6,34,3,0,5,0,41.6,0.3,7.6,0.29,179,448,40,793,143,43.3,39.2,235,44.7,38.9,305,27,8.9,19,0.71,14.4,https://fbref.com/en/players/b49729cb/Gautier-Larsonneur
2020,Brest,Ligue 1,Donovan Léon,GUF,GK,26,1992,1.4,3,1,0,0,0,2.5,0.16,-0.5,-0.33,10,21,47.6,35,7,48.6,42.5,6,66.7,48.5,17,1,5.9,0,0,11.7,https://fbref.com/en/players/51c83a90/Donovan-Leon
2020,Brighton,Premier League,Mathew Ryan,AUS,GK,27,1992,38,54,2,0,8,3,54.5,0.32,3.5,0.09,272,527,51.6,1188,232,33.8,33.8,274,45.6,38.7,314,24,7.6,19,0.5,13.9,https://fbref.com/en/players/4535e4bb/Mathew-Ryan
2020,Burnley,Premier League,Nick Pope,ENG,GK,27,1992,38,50,4,0,8,1,47.2,0.27,-1.8,-0.05,285,916,31.1,875,168,73,54.4,305,90.8,69.9,373,53,14.2,35,0.92,16.5,https://fbref.com/en/players/4b40d9ca/Nick-Pope
2020,Cagliari,Serie A,Alessio Cragno,ITA,GK,25,1994,16,21,1,0,2,1,23.6,0.26,3.6,0.23,87,251,34.7,318,67,51.6,40.7,157,55.4,43,176,14,8,5,0.31,11.5,https://fbref.com/en/players/f554e29b/Alessio-Cragno
2020,Cagliari,Serie A,Robin Olsen,SWE,GK,29,1990,16.9,24,4,0,1,2,21.9,0.23,-0.1,-0.01,105,278,37.8,341,62,55.4,45.1,159,56,47.3,200,12,6,4,0.24,11.1,https://fbref.com/en/players/e7ee38c3/Robin-Olsen
2020,Cagliari,Serie A,Rafael,BRA,GK,37,1982,5,11,2,0,0,0,9.4,0.5,-1.6,-0.33,35,79,44.3,106,16,58.5,41.8,47,36.2,35.8,70,5,7.1,2,0.4,12,https://fbref.com/en/players/dd06d56c/Rafael
2020,Celta Vigo,La Liga,Sergio Álvarez,ESP,GK,32,1986,2,1,0,0,0,0,1.1,0.28,0.1,0.06,8,22,36.4,34,5,32.4,35.6,19,57.9,43,24,2,8.3,0,0,16.5,https://fbref.com/en/players/8875b8c9/Sergio-Alvarez
2020,Celta Vigo,La Liga,Rubén Blanco,ESP,GK,24,1995,32.9,43,5,3,3,0,40.8,0.29,-2.2,-0.07,213,573,37.2,696,121,53.9,42.5,294,67.3,52.9,335,21,6.3,10,0.3,14.2,https://fbref.com/en/players/967f34d3/Ruben-Blanco
2020,Celta Vigo,La Liga,Iván Villar,ESP,GK,22,1997,3.1,5,0,0,0,0,4.7,0.42,-0.3,-0.11,15,43,34.9,61,6,39.3,35.5,28,67.9,55.3,34,3,8.8,3,0.96,16,https://fbref.com/en/players/cde52ef5/Ivan-Villar
2020,Chelsea,Premier League,Kepa Arrizabalaga,ESP,GK,24,1994,33,47,2,2,8,2,35.5,0.35,-9.5,-0.29,142,333,42.6,887,145,28.2,31.8,199,41.7,39.1,238,18,7.6,21,0.64,15.9,https://fbref.com/en/players/28d596a0/Kepa-Arrizabalaga
2020,Chelsea,Premier League,Willy Caballero,ARG,GK,37,1981,5,7,0,0,3,1,5.9,0.37,-0.1,-0.02,32,74,43.2,137,15,45.3,35.8,28,42.9,36.8,20,0,0,2,0.4,12.4,https://fbref.com/en/players/a179d516/Willy-Caballero
2020,Crystal Palace,Premier League,Vicente Guaita,ESP,GK,32,1987,35,42,0,0,5,2,46.8,0.33,6.8,0.19,225,674,33.4,780,163,57.4,44.3,273,82.8,61.9,331,30,9.1,16,0.46,13,https://fbref.com/en/players/ab13a5aa/Vicente-Guaita
2020,Crystal Palace,Premier League,Wayne Hennessey,WAL,GK,32,1987,3,8,0,1,2,0,8.8,0.4,0.8,0.28,31,88,35.2,64,6,82.8,56.2,39,89.7,67.2,35,3,8.6,1,0.33,14.7,https://fbref.com/en/players/76eca7e2/Wayne-Hennessey
