Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won_Aerial,Lost_Aerial,Won_percent_Aerial,Url
2018,Bayern Munich,Bundesliga,Juan Bernat,ESP,"DF,FW",24,1993,9.9,1,0,0,6,14,1,18,11,13,0,0,0,66,11,18,37.9,https://fbref.com/en/players/433dc9a2/Juan-Bernat
2018,Bayern Munich,Bundesliga,Jérôme Boateng,GER,DF,28,1988,18.2,4,0,0,17,9,0,13,18,18,0,0,0,218,30,12,71.4,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
2018,Bayern Munich,Bundesliga,Kingsley Coman,FRA,"FW,MF",21,1996,12.8,0,0,0,7,25,2,63,5,4,1,0,0,96,12,8,60,https://fbref.com/en/players/042e8a49/Kingsley-Coman
2018,Bayern Munich,Bundesliga,Niklas Dorsch,GER,MF,19,1998,1,0,0,0,2,0,0,0,0,0,0,0,0,6,0,1,0,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch
2018,Bayern Munich,Bundesliga,Franck Evina,CMR,FW,17,2000,1.2,0,0,0,1,1,0,4,0,2,0,0,0,6,3,1,75,https://fbref.com/en/players/44e471ca/Franck-Evina
2018,Bayern Munich,Bundesliga,Marco Friedl,AUT,DF,19,1998,0.5,0,0,0,1,2,0,4,0,0,0,0,0,8,1,0,100,https://fbref.com/en/players/f86ad3f5/Marco-Friedl
2018,Bayern Munich,Bundesliga,Mats Hummels,GER,DF,28,1988,24.6,3,0,0,22,12,1,3,32,39,0,0,0,360,68,35,66,https://fbref.com/en/players/05d548d8/Mats-Hummels
2018,Bayern Munich,Bundesliga,Joshua Kimmich,GER,DF,22,1995,25.9,1,0,0,22,54,2,107,17,20,1,1,0,253,16,18,47.1,https://fbref.com/en/players/49296448/Joshua-Kimmich
2018,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,28,1988,24.1,1,0,0,37,42,26,12,6,2,2,0,0,80,38,36,51.4,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2018,Bayern Munich,Bundesliga,Lars Lukas Mai,GER,DF,17,2000,2,0,0,NA,2,0,NA,0,3,2,0,0,NA,21,3,4,42.9,https://fbref.com/en/players/95173427/Lars-Lukas-Mai
2018,Bayern Munich,Bundesliga,Javi Martínez,ESP,"MF,DF",28,1988,17.9,1,0,0,15,20,0,6,26,14,0,0,0,239,54,26,67.5,https://fbref.com/en/players/7f97771d/Javi-Martinez
2018,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",27,1989,22.3,4,0,0,26,23,10,91,7,25,0,0,0,117,31,41,43.1,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,NA,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Kwasi Okyere Wriedt,GHA,MF,23,1994,0.3,0,0,0,0,0,0,1,0,2,0,0,0,2,0,1,0,https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt
2018,Bayern Munich,Bundesliga,Rafinha,BRA,DF,31,1985,20.6,4,0,0,25,32,0,40,21,20,0,0,0,242,17,24,41.5,https://fbref.com/en/players/d003e213/Rafinha
2018,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",34,1983,13.4,3,0,0,12,43,2,23,9,10,0,0,0,96,1,5,16.7,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
2018,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",33,1984,16.7,0,0,0,9,31,8,33,4,6,1,0,0,104,16,8,66.7,https://fbref.com/en/players/09586899/Arjen-Robben
2018,Bayern Munich,Bundesliga,James Rodríguez,COL,MF,26,1991,18,2,0,0,22,34,4,61,12,22,0,0,0,183,6,15,28.6,https://fbref.com/en/players/715bf047/James-Rodriguez
2018,Bayern Munich,Bundesliga,Sebastian Rudy,GER,MF,27,1990,16.8,2,0,0,24,15,0,14,22,27,0,0,0,167,9,16,36,https://fbref.com/en/players/80f36c88/Sebastian-Rudy
2018,Bayern Munich,Bundesliga,Meritan Shabani,ALB,FW,18,1999,0.6,0,0,0,0,1,1,0,0,1,0,0,0,4,0,2,0,https://fbref.com/en/players/012c38ec/Meritan-Shabani
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,NA,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Niklas Süle,GER,DF,21,1995,21.4,1,0,0,21,14,0,6,20,19,0,2,3,236,55,28,66.3,https://fbref.com/en/players/e33c06cf/Niklas-Sule
2018,Bayern Munich,Bundesliga,Corentin Tolisso,FRA,MF,22,1994,17.5,3,0,0,22,39,0,10,13,15,1,0,0,162,17,18,48.6,https://fbref.com/en/players/652d4c37/Corentin-Tolisso
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,1,0,0,1,3,0,0,0,0,0,1,0,140,0,0,NA,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Bayern Munich,Bundesliga,Arturo Vidal,CHI,MF,30,1987,16.2,6,0,0,49,24,4,8,15,36,0,0,0,223,32,24,57.1,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
2018,Bayern Munich,Bundesliga,Sandro Wagner,GER,FW,29,1987,8.1,1,0,0,22,8,3,4,1,5,0,0,0,25,25,25,50,https://fbref.com/en/players/61b0b44d/Sandro-Wagner
2018,Dortmund,Bundesliga,Manuel Akanji,SUI,DF,22,1995,10,2,0,0,12,4,0,2,7,12,0,0,0,105,17,17,50,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
2018,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,28,1989,15.7,1,1,1,16,7,15,19,1,2,1,0,0,49,11,16,40.7,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2018,Dortmund,Bundesliga,Marc Bartra,ESP,DF,26,1991,9,1,0,0,13,10,1,6,22,12,0,0,0,154,18,11,62.1,https://fbref.com/en/players/b742cc0d/Marc-Bartra
2018,Dortmund,Bundesliga,Michy Batshuayi,BEL,FW,23,1993,9.3,2,0,0,19,4,12,1,1,4,0,0,0,35,10,25,28.6,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi
2018,Dortmund,Bundesliga,Jacob Bruun Larsen,DEN,DF,18,1998,0.1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen
2018,Dortmund,Bundesliga,Roman Bürki,SUI,GK,26,1990,33,4,0,0,2,5,0,0,0,0,0,1,0,181,0,0,NA,https://fbref.com/en/players/9d12e142/Roman-Burki
2018,Dortmund,Bundesliga,Gonzalo Castro,GER,MF,30,1987,13.4,3,0,0,17,11,0,13,12,14,0,0,0,125,6,9,40,https://fbref.com/en/players/68829001/Gonzalo-Castro
2018,Dortmund,Bundesliga,Mahmoud Dahoud,GER,MF,21,1996,12.7,4,0,0,34,12,0,4,16,22,0,0,0,122,1,10,9.1,https://fbref.com/en/players/db4ed67b/Mahmoud-Dahoud
2018,Dortmund,Bundesliga,Sergio Gómez,ESP,MF,16,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/01e5f06e/Sergio-Gomez
2018,Dortmund,Bundesliga,Mario Götze,GER,MF,25,1992,17.8,1,0,0,27,32,5,26,5,38,0,0,0,174,7,20,25.9,https://fbref.com/en/players/9efa1d25/Mario-Gotze
2018,Dortmund,Bundesliga,Raphaël Guerreiro,POR,"DF,MF",23,1993,6.1,0,0,0,1,8,0,12,7,5,0,0,0,50,1,9,10,https://fbref.com/en/players/048a1cbc/Raphael-Guerreiro
2018,Dortmund,Bundesliga,Alexander Isak,SWE,"FW,MF",17,1999,1.3,0,0,0,2,0,2,0,0,0,0,0,0,4,4,4,50,https://fbref.com/en/players/8e92be30/Alexander-Isak
2018,Dortmund,Bundesliga,Shinji Kagawa,JPN,MF,28,1989,13,0,0,0,10,21,1,15,4,18,1,0,0,91,1,11,8.3,https://fbref.com/en/players/5afafbfe/Shinji-Kagawa
2018,Dortmund,Bundesliga,Sokratis Papastathopoulos,GRE,DF,29,1988,26.4,5,1,0,39,35,1,2,25,32,0,0,0,281,69,22,75.8,https://fbref.com/en/players/b682dcf6/Sokratis-Papastathopoulos
2018,Dortmund,Bundesliga,Felix Passlack,GER,DF,19,1998,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,NA,https://fbref.com/en/players/5c899683/Felix-Passlack
2018,Dortmund,Bundesliga,Maximilian Philipp,GER,"FW,MF",23,1994,13.4,0,0,0,17,28,11,15,6,15,0,0,0,56,17,20,45.9,https://fbref.com/en/players/061e8e23/Maximilian-Philipp
2018,Dortmund,Bundesliga,Łukasz Piszczek,POL,DF,32,1985,23.8,3,0,0,24,28,3,45,29,24,1,0,0,298,62,23,72.9,https://fbref.com/en/players/fe2db476/Lukasz-Piszczek
2018,Dortmund,Bundesliga,Christian Pulisic,USA,FW,18,1998,25.6,1,0,0,17,41,8,63,15,15,1,0,0,163,12,45,21.1,https://fbref.com/en/players/1bf33a9a/Christian-Pulisic
2018,Dortmund,Bundesliga,Marco Reus,GER,"MF,FW",28,1989,10.3,1,0,0,15,21,5,11,5,13,0,0,0,74,3,20,13,https://fbref.com/en/players/36a3ff67/Marco-Reus
2018,Dortmund,Bundesliga,Nuri Şahin,TUR,MF,28,1988,13.6,2,0,0,23,26,0,9,9,30,0,0,0,200,26,11,70.3,https://fbref.com/en/players/f4081572/Nuri-Sahin
2018,Dortmund,Bundesliga,Jadon Sancho,ENG,FW,17,2000,7.7,0,0,0,1,9,1,15,6,5,0,0,0,57,3,14,17.6,https://fbref.com/en/players/dbf053da/Jadon-Sancho
2018,Dortmund,Bundesliga,Marcel Schmelzer,GER,DF,29,1988,16.6,3,0,0,20,26,0,21,26,25,0,0,0,180,42,33,56,https://fbref.com/en/players/89565ac5/Marcel-Schmelzer
2018,Dortmund,Bundesliga,André Schürrle,GER,FW,26,1990,13.7,0,0,0,13,14,11,33,9,11,0,0,0,69,20,23,46.5,https://fbref.com/en/players/ecbb3fdf/Andre-Schurrle
