Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url
2018,Schalke 04,Bundesliga,Ralf Fährmann,GER,GK,28,1988,34,34,3015,33.5,37,1.1,121,87,71.9,18,9,7,12,35.3,6,3,2,1,40,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann
2018,Schalke 04,Bundesliga,Alexander Nübel,GER,GK,20,1996,1,0,45,0.5,0,0,2,2,100,0,0,0,0,NA,0,0,0,0,NA,https://fbref.com/en/players/afb0c500/Alexander-Nubel
2018,Stuttgart,Bundesliga,Ron-Robert Zieler,GER,GK,28,1989,34,34,3060,34,36,1.06,146,113,78.1,15,6,13,12,35.3,6,4,2,0,33.3,https://fbref.com/en/players/a0606ae8/Ron-Robert-Zieler
2018,Werder Bremen,Bundesliga,Jiří Pavlenka,CZE,GK,25,1992,34,34,3060,34,40,1.18,157,119,75.8,10,12,12,8,23.5,4,2,1,1,33.3,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka
2018,Wolfsburg,Bundesliga,Koen Casteels,BEL,GK,25,1992,34,34,3060,34,48,1.41,143,102,70.6,6,15,13,8,23.5,10,6,3,1,33.3,https://fbref.com/en/players/db401046/Koen-Casteels
2019,Augsburg,Bundesliga,Fabian Giefer,GER,GK,28,1990,4,4,360,4,7,1.75,18,11,61.1,1,1,2,0,0,0,0,0,0,NA,https://fbref.com/en/players/fbefefdb/Fabian-Giefer
2019,Augsburg,Bundesliga,Gregor Kobel,SUI,GK,20,1997,16,16,1390,15.4,42,2.72,85,44,51.8,4,2,10,3,18.8,2,1,1,0,50,https://fbref.com/en/players/cd59b9df/Gregor-Kobel
2019,Augsburg,Bundesliga,Andreas Luthe,GER,GK,31,1987,15,14,1310,14.6,22,1.51,77,56,71.4,3,5,6,2,14.3,0,0,0,0,NA,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2019,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,32,1986,26,26,2303,25.6,23,0.9,51,32,60.8,20,3,3,10,38.5,3,3,0,0,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
2019,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,29,1988,9,8,757,8.4,9,1.07,20,13,65,4,3,1,2,25,3,2,0,1,0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2019,Dortmund,Bundesliga,Roman Bürki,SUI,GK,27,1990,32,32,2880,32,40,1.25,125,88,71.2,21,7,4,10,31.3,4,4,0,0,0,https://fbref.com/en/players/9d12e142/Roman-Burki
2019,Dortmund,Bundesliga,Marwin Hitz,SUI,GK,30,1987,2,2,180,2,4,2,5,1,20,2,0,0,0,0,1,0,0,1,NA,https://fbref.com/en/players/2e7ff968/Marwin-Hitz
2019,Düsseldorf,Bundesliga,Jaroslav Drobný,CZE,GK,38,1979,2,2,180,2,3,1.5,9,6,66.7,1,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/e4a30d8c/Jaroslav-Drobny
2019,Düsseldorf,Bundesliga,Michael Rensing,GER,GK,34,1984,32,32,2880,32,62,1.94,164,107,66.5,12,5,15,5,15.6,7,7,0,0,0,https://fbref.com/en/players/c476b0c0/Michael-Rensing
2019,Eint Frankfurt,Bundesliga,Frederik Rønnow,DEN,GK,25,1992,2,1,122,1.4,0,0,8,8,100,1,0,0,1,100,0,0,0,0,NA,https://fbref.com/en/players/a70b8345/Frederik-Ronnow
2019,Eint Frankfurt,Bundesliga,Kevin Trapp,GER,GK,28,1990,33,33,2938,32.6,48,1.47,159,113,70.4,14,9,10,8,24.2,1,1,0,0,0,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp
2019,Freiburg,Bundesliga,Mark Flekken,NED,GK,25,1993,1,1,90,1,1,1,5,4,80,1,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/a92ab7be/Mark-Flekken
2019,Freiburg,Bundesliga,Alexander Schwolow,GER,GK,26,1992,33,33,2970,33,60,1.82,162,108,67.3,7,12,14,5,15.2,7,7,0,0,0,https://fbref.com/en/players/0d55d942/Alexander-Schwolow
2019,Hannover 96,Bundesliga,Michael Esser,GER,GK,30,1987,32,32,2880,32,67,2.09,209,149,70.3,5,6,21,5,15.6,6,5,1,0,16.7,https://fbref.com/en/players/83e0eeb4/Michael-Esser
2019,Hannover 96,Bundesliga,Samuel Şahin-Radlinger,AUT,GK,25,1992,1,1,90,1,2,2,6,4,66.7,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/e385200c/Samuel-Sahin-Radlinger
2019,Hannover 96,Bundesliga,Philipp Tschauner,GER,GK,32,1985,1,1,90,1,3,3,5,3,60,0,0,1,0,0,1,1,0,0,0,https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner
2019,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,33,1984,31,31,2745,30.5,48,1.57,141,96,67.4,9,10,12,8,25.8,4,2,1,1,33.3,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2019,Hertha BSC,Bundesliga,Thomas Kraft,GER,GK,30,1988,4,3,315,3.5,9,2.57,13,6,46.2,2,0,1,1,33.3,2,2,0,0,0,https://fbref.com/en/players/bb25c778/Thomas-Kraft
2019,Hoffenheim,Bundesliga,Oliver Baumann,GER,GK,28,1990,33,33,2970,33,51,1.55,159,114,71.7,12,12,9,5,15.2,7,6,1,0,14.3,https://fbref.com/en/players/47064058/Oliver-Baumann
2019,Hoffenheim,Bundesliga,Gregor Kobel,SUI,GK,20,1997,1,1,90,1,1,1,6,6,100,1,0,0,0,0,1,1,0,0,0,https://fbref.com/en/players/cd59b9df/Gregor-Kobel
2019,Leverkusen,Bundesliga,Lukáš Hrádecký,FIN,GK,28,1989,32,32,2880,32,49,1.53,125,83,63.2,18,4,10,9,28.1,4,3,1,0,25,https://fbref.com/en/players/ad3389d5/Lukas-Hradecky
2019,Leverkusen,Bundesliga,Ramazan Özcan,AUT,GK,34,1984,2,2,180,2,5,2.5,12,8,66.7,0,0,2,0,0,2,1,1,0,50,https://fbref.com/en/players/a165a577/Ramazan-Ozcan
2019,M'Gladbach,Bundesliga,Yann Sommer,SUI,GK,29,1988,34,34,3060,34,43,1.26,154,115,74,16,7,11,13,38.2,3,3,0,0,0,https://fbref.com/en/players/420c18a1/Yann-Sommer
2019,Mainz 05,Bundesliga,Florian Müller,GER,GK,20,1997,24,24,2160,24,43,1.79,118,78,66.1,8,3,13,5,20.8,4,3,0,1,0,https://fbref.com/en/players/cbac6ec9/Florian-Muller
2019,Mainz 05,Bundesliga,Robin Zentner,GER,GK,23,1994,10,10,900,10,14,1.4,51,37,72.5,4,4,2,2,20,0,0,0,0,NA,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner
2019,Nürnberg,Bundesliga,Fabian Bredlow,GER,GK,23,1995,14,12,1127,12.5,28,2.24,60,32,55,2,3,7,2,16.7,3,1,1,1,50,https://fbref.com/en/players/d28339cb/Fabian-Bredlow
2019,Nürnberg,Bundesliga,Christian Mathenia,GER,GK,26,1992,22,22,1933,21.5,40,1.86,116,75,66.4,1,7,14,2,9.1,1,1,0,0,0,https://fbref.com/en/players/4a15e95b/Christian-Mathenia
2019,RB Leipzig,Bundesliga,Péter Gulácsi,HUN,GK,28,1990,33,33,2925,32.5,28,0.86,108,86,77.8,19,9,5,16,48.5,5,4,0,1,0,https://fbref.com/en/players/bcb2ccd8/Peter-Gulacsi
2019,RB Leipzig,Bundesliga,Yvon Mvogo,SUI,GK,24,1994,2,1,135,1.5,2,1.33,3,2,66.7,0,0,1,1,100,1,1,0,0,0,https://fbref.com/en/players/dc29b608/Yvon-Mvogo
2019,Schalke 04,Bundesliga,Ralf Fährmann,GER,GK,29,1988,17,16,1469,16.3,26,1.59,80,57,70,4,3,9,3,18.8,2,2,0,0,0,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann
2019,Schalke 04,Bundesliga,Alexander Nübel,GER,GK,21,1996,18,18,1588,17.6,29,1.64,77,49,66.2,4,6,8,4,22.2,4,3,1,0,25,https://fbref.com/en/players/afb0c500/Alexander-Nubel
2019,Stuttgart,Bundesliga,Ron-Robert Zieler,GER,GK,29,1989,34,34,3060,34,70,2.06,178,114,61.8,7,7,20,6,17.6,3,2,0,1,0,https://fbref.com/en/players/a0606ae8/Ron-Robert-Zieler
2019,Werder Bremen,Bundesliga,Stefanos Kapino,GRE,GK,24,1994,1,0,45,0.5,1,2,3,2,66.7,0,0,0,0,NA,0,0,0,0,NA,https://fbref.com/en/players/62ba5881/Stefanos-Kapino
2019,Werder Bremen,Bundesliga,Jiří Pavlenka,CZE,GK,26,1992,34,34,2978,33.1,47,1.42,153,108,71.2,14,11,9,5,14.7,4,3,0,1,0,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka
2019,Werder Bremen,Bundesliga,Luca Plogmann,GER,GK,18,2000,1,0,37,0.4,1,2.43,0,0,NA,0,0,0,0,NA,1,1,0,0,0,https://fbref.com/en/players/206c37d3/Luca-Plogmann
2019,Wolfsburg,Bundesliga,Koen Casteels,BEL,GK,26,1992,26,26,2295,25.5,39,1.53,121,86,71.1,11,6,9,8,30.8,5,4,1,0,20,https://fbref.com/en/players/db401046/Koen-Casteels
2019,Wolfsburg,Bundesliga,Pavao Pervan,AUT,GK,30,1987,10,8,765,8.5,11,1.29,41,29,73.2,5,1,2,1,12.5,1,0,0,1,NA,https://fbref.com/en/players/c89e8aae/Pavao-Pervan
2020,Augsburg,Bundesliga,Tomáš Koubek,CZE,GK,26,1992,24,24,2160,24,51,2.12,122,72,58.2,6,6,12,4,16.7,1,0,1,0,100,https://fbref.com/en/players/dc366c36/Tomas-Koubek
2020,Augsburg,Bundesliga,Andreas Luthe,GER,GK,32,1987,10,10,900,10,12,1.2,35,23,65.7,3,3,4,3,30,0,0,0,0,NA,https://fbref.com/en/players/7fe12375/Andreas-Luthe
