Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Atlético Madrid,La Liga,Gabi,ESP,MF,34,1983,26.1,1972,83,459,1288,335,4,1850,11,18,61.1,11,2,1363,5852,2742,119,29,0,9,15,1320,1267,96,23,https://fbref.com/en/players/65d750b5/Gabi
2018,Atlético Madrid,La Liga,Nicolás Gaitán,ARG,"MF,FW",29,1988,2.4,133,1,16,69,57,10,124,0,4,0,1,0,79,431,215,14,4,3,2,2,111,90,81.1,19,https://fbref.com/en/players/7ebfac0f/Nicolas-Gaitan
2018,Atlético Madrid,La Liga,Kévin Gameiro,FRA,FW,30,1987,12.5,360,7,48,133,202,67,352,12,23,52.2,16,1,261,1347,704,36,12,8,27,23,475,252,53.1,105,https://fbref.com/en/players/42276181/Kevin-Gameiro
2018,Atlético Madrid,La Liga,Diego Godín,URU,DF,31,1986,28.4,1520,237,884,671,54,41,1464,3,4,75,3,0,927,4584,2342,35,3,0,7,2,923,890,96.4,21,https://fbref.com/en/players/fc4f85b1/Diego-Godin
2018,Atlético Madrid,La Liga,Antoine Griezmann,FRA,FW,26,1991,28,1340,16,160,656,633,123,1281,30,53,56.6,35,2,1046,5029,2458,113,55,23,39,28,1430,1010,70.6,227,https://fbref.com/en/players/df69b544/Antoine-Griezmann
2018,Atlético Madrid,La Liga,Lucas Hernández,FRA,DF,21,1996,23.5,1348,120,559,654,217,20,1226,13,20,65,13,0,799,4366,2397,76,26,2,14,11,791,740,93.6,30,https://fbref.com/en/players/c3ee18ef/Lucas-Hernandez
2018,Atlético Madrid,La Liga,Carlos Isaac,ESP,DF,19,1998,0.7,48,3,9,21,19,1,41,0,1,0,0,0,34,70,44,2,0,0,0,0,34,32,94.1,4,https://fbref.com/en/players/3e5a168c/Carlos-Isaac
2018,Atlético Madrid,La Liga,Juanfran,ESP,DF,32,1985,14.5,797,63,251,326,264,16,679,7,16,43.8,9,2,481,2359,1354,80,19,6,5,13,491,442,90,32,https://fbref.com/en/players/cfd8d664/Juanfran
2018,Atlético Madrid,La Liga,Koke,ESP,"MF,FW",25,1992,30.6,2423,49,419,1366,751,42,2261,27,47,57.4,32,1,1775,7197,3440,146,37,3,35,42,1900,1722,90.6,110,https://fbref.com/en/players/55126f3b/Koke
2018,Atlético Madrid,La Liga,Filipe Luís,BRA,DF,31,1985,18.4,1373,63,410,704,366,30,1219,25,41,61,27,3,917,4932,2860,142,46,4,21,15,915,859,93.9,43,https://fbref.com/en/players/e4ed2628/Filipe-Luis
2018,Atlético Madrid,La Liga,José María Giménez,URU,DF,22,1995,18.8,981,155,550,411,60,25,927,5,9,55.6,5,0,537,2471,1085,24,3,0,4,4,540,518,95.9,24,https://fbref.com/en/players/f0da930c/Jose-Maria-Gimenez
2018,Atlético Madrid,La Liga,Toni Moya,ESP,DF,19,1998,0,1,0,1,0,0,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,https://fbref.com/en/players/9e098912/Toni-Moya
