Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Tkl_Tackles,TklW_Tackles,Def 3rd_Tackles,Mid 3rd_Tackles,Att 3rd_Tackles,Tkl_Vs,Att_Vs,Tkl_percent_Vs,Past_Vs,Press_Pressures,Succ_Pressures,_percent_Pressures,Def 3rd_Pressures,Mid 3rd_Pressures,Att 3rd_Pressures,Blocks_Blocks,Sh_Blocks,ShSv_Blocks,Pass_Blocks,Int,Tkl+Int,Clr,Err,Url
2018,Augsburg,Bundesliga,Jonathan Schmid,FRA,"DF,FW",27,1990,16.4,26,14,9,11,6,8,18,44.4,10,244,55,22.5,65,117,62,29,2,0,27,7,33,41,1,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid
2018,Augsburg,Bundesliga,Kostas Stafylidis,GRE,DF,23,1993,0.4,1,0,1,0,0,0,0,NA,0,14,3,21.4,6,7,1,2,0,0,2,0,1,2,0,https://fbref.com/en/players/861e0116/Kostas-Stafylidis
2018,Augsburg,Bundesliga,Erik Thommy,GER,FW,22,1994,1.9,7,3,1,2,4,3,7,42.9,4,56,12,21.4,12,27,17,4,0,0,4,3,10,3,0,https://fbref.com/en/players/df8e7b62/Erik-Thommy
2018,Bayern Munich,Bundesliga,David Alaba,AUT,DF,25,1992,17.2,23,15,10,9,4,9,13,69.2,4,202,75,37.1,73,76,53,27,5,1,22,10,33,30,0,https://fbref.com/en/players/05439de2/David-Alaba
2018,Bayern Munich,Bundesliga,Thiago Alcántara,ESP,"MF,FW",26,1991,13.9,32,26,7,19,6,6,22,27.3,16,263,99,37.6,57,133,73,21,2,0,19,20,52,7,0,https://fbref.com/en/players/77e84962/Thiago-Alcantara
2018,Bayern Munich,Bundesliga,Juan Bernat,ESP,"DF,FW",24,1993,9.9,22,13,14,5,3,12,21,57.1,9,121,40,33.1,51,40,30,12,1,0,11,11,33,6,0,https://fbref.com/en/players/433dc9a2/Juan-Bernat
2018,Bayern Munich,Bundesliga,Jérôme Boateng,GER,DF,28,1988,18.2,27,18,18,7,2,10,27,37,17,115,44,38.3,59,49,7,24,11,0,13,18,45,74,1,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
2018,Bayern Munich,Bundesliga,Kingsley Coman,FRA,"FW,MF",21,1996,12.8,9,4,3,4,2,2,7,28.6,5,188,57,30.3,34,78,76,11,0,0,11,5,14,3,0,https://fbref.com/en/players/042e8a49/Kingsley-Coman
2018,Bayern Munich,Bundesliga,Niklas Dorsch,GER,MF,19,1998,1,2,0,0,2,0,0,1,0,1,9,3,33.3,3,2,4,1,0,0,1,0,2,0,0,https://fbref.com/en/players/7f73bdf4/Niklas-Dorsch
2018,Bayern Munich,Bundesliga,Franck Evina,CMR,FW,17,2000,1.2,2,2,2,0,0,1,2,50,1,13,4,30.8,1,5,7,5,0,0,5,0,2,0,0,https://fbref.com/en/players/44e471ca/Franck-Evina
2018,Bayern Munich,Bundesliga,Marco Friedl,AUT,DF,19,1998,0.5,0,0,0,0,0,0,0,NA,0,4,0,0,3,0,1,1,0,0,1,0,0,3,0,https://fbref.com/en/players/f86ad3f5/Marco-Friedl
2018,Bayern Munich,Bundesliga,Mats Hummels,GER,DF,28,1988,24.6,54,39,32,19,3,22,43,51.2,21,195,93,47.7,106,74,15,41,16,0,25,32,86,108,0,https://fbref.com/en/players/05d548d8/Mats-Hummels
2018,Bayern Munich,Bundesliga,Joshua Kimmich,GER,DF,22,1995,25.9,29,20,13,14,2,13,32,40.6,19,317,113,35.6,138,105,74,36,5,1,31,17,46,39,0,https://fbref.com/en/players/49296448/Joshua-Kimmich
2018,Bayern Munich,Bundesliga,Robert Lewandowski,POL,FW,28,1988,24.1,4,2,2,0,2,2,3,66.7,1,279,93,33.3,7,68,204,11,4,0,7,6,10,9,0,https://fbref.com/en/players/8d78e732/Robert-Lewandowski
2018,Bayern Munich,Bundesliga,Lars Lukas Mai,GER,DF,17,2000,2,5,2,5,0,0,1,2,50,1,24,8,33.3,13,11,0,3,2,0,1,3,8,2,0,https://fbref.com/en/players/95173427/Lars-Lukas-Mai
2018,Bayern Munich,Bundesliga,Javi Martínez,ESP,"MF,DF",28,1988,17.9,23,14,8,13,2,4,20,20,16,278,87,31.3,80,164,34,22,5,1,17,26,49,60,0,https://fbref.com/en/players/7f97771d/Javi-Martinez
2018,Bayern Munich,Bundesliga,Thomas Müller,GER,"FW,MF",27,1989,22.3,35,25,9,18,8,12,28,42.9,16,400,125,31.3,62,191,147,20,3,0,17,7,42,12,0,https://fbref.com/en/players/3c6089ab/Thomas-Muller
2018,Bayern Munich,Bundesliga,Manuel Neuer,GER,GK,31,1986,3,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,1,0,https://fbref.com/en/players/8778c910/Manuel-Neuer
2018,Bayern Munich,Bundesliga,Kwasi Okyere Wriedt,GHA,MF,23,1994,0.3,2,2,1,1,0,0,0,NA,0,4,4,100,1,2,1,0,0,0,0,0,2,0,0,https://fbref.com/en/players/7124239e/Kwasi-Okyere-Wriedt
2018,Bayern Munich,Bundesliga,Rafinha,BRA,DF,31,1985,20.6,34,20,20,11,3,11,30,36.7,19,205,74,36.1,95,70,40,27,6,0,21,21,55,37,0,https://fbref.com/en/players/d003e213/Rafinha
2018,Bayern Munich,Bundesliga,Franck Ribéry,FRA,"FW,MF",34,1983,13.4,13,10,5,4,4,8,19,42.1,11,231,65,28.1,54,104,73,15,1,0,14,9,22,4,0,https://fbref.com/en/players/f61c7c4e/Franck-Ribery
2018,Bayern Munich,Bundesliga,Arjen Robben,NED,"FW,MF",33,1984,16.7,10,6,1,4,5,2,11,18.2,9,176,56,31.8,24,86,66,12,1,0,11,4,14,1,0,https://fbref.com/en/players/09586899/Arjen-Robben
2018,Bayern Munich,Bundesliga,James Rodríguez,COL,MF,26,1991,18,33,22,10,16,7,10,30,33.3,20,323,99,30.7,69,167,87,19,2,0,17,12,45,8,0,https://fbref.com/en/players/715bf047/James-Rodriguez
2018,Bayern Munich,Bundesliga,Sebastian Rudy,GER,MF,27,1990,16.8,42,27,14,21,7,13,40,32.5,27,299,109,36.5,59,185,55,22,1,0,21,22,64,10,0,https://fbref.com/en/players/80f36c88/Sebastian-Rudy
2018,Bayern Munich,Bundesliga,Meritan Shabani,ALB,FW,18,1999,0.6,2,1,1,0,1,1,5,20,4,11,3,27.3,3,4,4,1,0,0,1,0,2,0,0,https://fbref.com/en/players/012c38ec/Meritan-Shabani
2018,Bayern Munich,Bundesliga,Tom Starke,GER,GK,36,1981,2,0,0,0,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/5b52d1f7/Tom-Starke
2018,Bayern Munich,Bundesliga,Niklas Süle,GER,DF,21,1995,21.4,36,19,26,9,1,16,29,55.2,13,210,77,36.7,108,86,16,28,15,1,13,20,56,86,1,https://fbref.com/en/players/e33c06cf/Niklas-Sule
2018,Bayern Munich,Bundesliga,Corentin Tolisso,FRA,MF,22,1994,17.5,28,15,10,11,7,10,29,34.5,19,271,94,34.7,56,161,54,21,4,0,17,13,41,12,1,https://fbref.com/en/players/652d4c37/Corentin-Tolisso
2018,Bayern Munich,Bundesliga,Sven Ulreich,GER,GK,28,1988,29,0,0,0,0,0,0,0,NA,0,4,1,25,4,0,0,0,0,0,0,0,0,0,0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich
2018,Bayern Munich,Bundesliga,Arturo Vidal,CHI,MF,30,1987,16.2,51,36,27,19,5,18,61,29.5,43,396,150,37.9,131,199,66,34,1,0,33,15,66,33,0,https://fbref.com/en/players/67cdbc0e/Arturo-Vidal
2018,Bayern Munich,Bundesliga,Sandro Wagner,GER,FW,29,1987,8.1,5,5,3,1,1,2,3,66.7,1,154,53,34.4,11,54,89,6,0,0,6,1,6,3,0,https://fbref.com/en/players/61b0b44d/Sandro-Wagner
2018,Dortmund,Bundesliga,Manuel Akanji,SUI,DF,22,1995,10,20,12,14,6,0,3,8,37.5,5,122,46,37.7,64,52,6,14,4,0,10,7,27,58,0,https://fbref.com/en/players/89ac64a6/Manuel-Akanji
2018,Dortmund,Bundesliga,Pierre-Emerick Aubameyang,GAB,FW,28,1989,15.7,4,2,1,0,3,1,10,10,9,299,69,23.1,7,132,160,20,3,0,17,1,5,0,0,https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang
2018,Dortmund,Bundesliga,Marc Bartra,ESP,DF,26,1991,9,26,12,13,13,0,8,16,50,8,141,45,31.9,83,47,11,18,1,0,17,22,48,30,0,https://fbref.com/en/players/b742cc0d/Marc-Bartra
2018,Dortmund,Bundesliga,Michy Batshuayi,BEL,FW,23,1993,9.3,7,4,0,4,3,0,4,0,4,158,50,31.6,7,66,85,7,1,0,6,1,8,5,0,https://fbref.com/en/players/2973d8ff/Michy-Batshuayi
2018,Dortmund,Bundesliga,Jacob Bruun Larsen,DEN,DF,18,1998,0.1,1,1,1,0,0,1,1,100,0,8,5,62.5,5,1,2,0,0,0,0,0,1,0,0,https://fbref.com/en/players/4e204552/Jacob-Bruun-Larsen
