Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing.Time,Min_Playing.Time,Mn_per_MP_Playing.Time,Min_percent_Playing.Time,Mins_Per_90_Playing.Time,Starts_Starts,Mn_per_Start_Starts,Compl_Starts,Subs_Subs,Mn_per_Sub_Subs,unSub_Subs,PPM_Team.Success,onG_Team.Success,onGA_Team.Success,plus_per__minus__Team.Success,plus_per__minus_90_Team.Success,On_minus_Off_Team.Success,onxG_Team.Success..xG.,onxGA_Team.Success..xG,xGplus_per__minus__Team.Success..xG,xGplus_per__minus_90_Team.Success..xG,On_minus_Off_Team.Success..xG,Url
2018,Hannover 96,Bundesliga,Linton Maina,GER,MF,18,1999,1,5,5,0.2,0.1,0,NA,0,1,NA,2,0,2,0,2,36,36.35,1.9,0.8,1.1,2.98,3.26,https://fbref.com/en/players/e5d85da8/Linton-Maina
2018,Hannover 96,Bundesliga,Matthias Ostrzolek,GER,DF,27,1990,27,2379,88,77.7,26.4,27,NA,25,0,NA,7,1.19,35,38,-3,-0.11,0.81,37.4,41.7,-4.3,-0.16,0.37,https://fbref.com/en/players/1cd87320/Matthias-Ostrzolek
2018,Hannover 96,Bundesliga,Samuel Şahin-Radlinger,AUT,GK,24,1992,0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/e385200c/Samuel-Sahin-Radlinger
2018,Hannover 96,Bundesliga,Salif Sané,SEN,DF,26,1990,32,2879,90,94.1,32,32,NA,31,0,NA,0,1.13,43,53,-10,-0.31,-0.31,44.9,51.7,-6.8,-0.21,0.56,https://fbref.com/en/players/791abba1/Salif-Sane
2018,Hannover 96,Bundesliga,Manuel Schmiedebach,GER,MF,28,1988,6,165,28,5.4,1.8,2,NA,0,4,NA,7,1,2,4,-2,-1.09,-0.84,3,3.7,-0.7,-0.39,-0.15,https://fbref.com/en/players/d8f5dc3d/Manuel-Schmiedebach
2018,Hannover 96,Bundesliga,Pirmin Schwegler,SUI,MF,30,1987,29,2319,80,75.8,25.8,27,NA,16,2,NA,0,1.21,29,37,-8,-0.31,-0.07,31.9,35.5,-3.6,-0.14,0.45,https://fbref.com/en/players/5528407e/Pirmin-Schwegler
2018,Hannover 96,Bundesliga,Oliver Sorg,GER,DF,27,1990,22,1687,77,55.1,18.7,20,NA,12,2,NA,10,1,26,39,-13,-0.69,-0.89,24.1,29.8,-5.6,-0.3,-0.12,https://fbref.com/en/players/541cdd20/Oliver-Sorg
2018,Hannover 96,Bundesliga,Marlon Sündermann,GER,GK,19,1998,0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/f5c0f120/Marlon-Sundermann
2018,Hannover 96,Bundesliga,Philipp Tschauner,GER,GK,31,1985,31,2790,90,91.2,31,31,NA,31,0,NA,1,1.16,39,45,-6,-0.19,1.14,39.8,46.2,-6.4,-0.21,0.44,https://fbref.com/en/players/73e2f6eb/Philipp-Tschauner
2018,Hertha BSC,Bundesliga,Florian Baak,GER,DF,18,1999,0,NA,NA,NA,NA,0,NA,0,0,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/150d5992/Florian-Baak
2018,Hertha BSC,Bundesliga,Per Ciljan Skjelbred,NOR,MF,30,1987,28,2183,78,71.3,24.3,24,NA,21,4,NA,6,1.32,30,35,-5,-0.21,-0.41,25.8,35.1,-9.3,-0.38,-0.65,https://fbref.com/en/players/ecab64a0/Per-Ciljan-Skjelbred
2018,Hertha BSC,Bundesliga,Maurice Covic,GER,MF,19,1998,0,NA,NA,NA,NA,0,NA,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://fbref.com/en/players/9ec32624/Maurice-Covic
2018,Hertha BSC,Bundesliga,Palkó Dárdai,HUN,FW,18,1999,2,27,14,0.9,0.3,0,NA,0,2,NA,4,0.5,2,0,2,6.67,6.82,1,0.2,0.9,2.84,3.07,https://fbref.com/en/players/db7161ed/Palko-Dardai
2018,Hertha BSC,Bundesliga,Vladimír Darida,CZE,MF,26,1990,21,1635,78,53.4,18.2,18,NA,13,3,NA,3,1.24,23,26,-3,-0.17,-0.17,19,25.3,-6.3,-0.35,-0.33,https://fbref.com/en/players/3eb0f2df/Vladimir-Darida
2018,Hertha BSC,Bundesliga,Ondrej Duda,SVK,MF,22,1994,17,744,44,24.3,8.3,9,NA,0,8,NA,9,1.06,9,6,3,0.36,0.6,9.3,9.9,-0.7,-0.08,0.15,https://fbref.com/en/players/79ca3e23/Ondrej-Duda
2018,Hertha BSC,Bundesliga,Alexander Esswein,GER,"FW,MF",27,1990,16,617,39,20.2,6.9,6,NA,1,10,NA,13,1.19,11,11,0,0,0.11,8.1,9.2,-1.1,-0.15,0.05,https://fbref.com/en/players/b48215cd/Alexander-Esswein
2018,Hertha BSC,Bundesliga,Genki Haraguchi,JPN,"MF,FW",26,1991,7,211,30,6.9,2.3,2,NA,0,5,NA,2,1.57,2,3,-1,-0.43,-0.36,3,6.1,-3.1,-1.33,-1.21,https://fbref.com/en/players/f24ea523/Genki-Haraguchi
2018,Hertha BSC,Bundesliga,Vedad Ibišević,BIH,FW,32,1984,27,1452,54,47.5,16.1,18,NA,5,9,NA,4,1.15,25,24,1,0.06,0.29,18.8,20,-1.2,-0.07,0.24,https://fbref.com/en/players/c3fd9887/Vedad-Ibisevic
2018,Hertha BSC,Bundesliga,Rune Jarstein,NOR,GK,32,1984,31,2790,90,91.2,31,31,NA,31,0,NA,0,1.29,41,44,-3,-0.1,-0.1,37.2,41.8,-4.7,-0.15,0.52,https://fbref.com/en/players/27d2618c/Rune-Jarstein
2018,Hertha BSC,Bundesliga,Salomon Kalou,CIV,"FW,MF",31,1985,31,2207,71,72.1,24.5,27,NA,8,4,NA,3,1.26,32,37,-5,-0.2,-0.41,28.5,34.1,-5.7,-0.23,-0.12,https://fbref.com/en/players/2042d931/Salomon-Kalou
