Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Cmp_Total,Att_Total,Cmp_percent_Total,TotDist_Total,PrgDist_Total,Cmp_Short,Att_Short,Cmp_percent_Short,Cmp_Medium,Att_Medium,Cmp_percent_Medium,Cmp_Long,Att_Long,Cmp_percent_Long,Ast,xA,A_minus_xA,KP,Final_Third,PPA,CrsPA,Prog,Url
2018,Hertha BSC,Bundesliga,Marvin Plattenhardt,GER,DF,25,1992,33,1288,1720,74.9,25314,9777,516,585,88.2,579,702,82.5,189,396,47.7,7,3.2,3.8,33,92,21,10,114,https://fbref.com/en/players/f7aa75bd/Marvin-Plattenhardt
2018,Hertha BSC,Bundesliga,Karim Rekik,NED,DF,22,1994,25.6,1118,1316,85,26965,7985,220,242,90.9,607,654,92.8,286,404,70.8,2,0.4,1.6,1,53,4,0,63,https://fbref.com/en/players/3376a776/Karim-Rekik
2018,Hertha BSC,Bundesliga,Julian Schieber,GER,"MF,FW",28,1989,0.6,5,14,35.7,60,24,3,6,50,2,7,28.6,0,0,NA,0,0,0,0,0,0,0,0,https://fbref.com/en/players/37c213cf/Julian-Schieber
2018,Hertha BSC,Bundesliga,Davie Selke,GER,FW,22,1995,21,282,463,60.9,3573,650,189,268,70.5,74,134,55.2,8,20,40,0,1.7,-1.7,14,14,3,1,15,https://fbref.com/en/players/1238a3f9/Davie-Selke
2018,Hertha BSC,Bundesliga,Niklas Stark,GER,"DF,MF",22,1995,24.6,844,1033,81.7,18270,6091,245,276,88.8,425,498,85.3,168,244,68.9,1,0.5,0.5,3,56,5,1,85,https://fbref.com/en/players/aad48be9/Niklas-Stark
2018,Hertha BSC,Bundesliga,Valentin Stocker,SUI,MF,28,1989,0.6,11,17,64.7,142,11,9,11,81.8,1,4,25,1,1,100,0,0,0,1,1,0,0,0,https://fbref.com/en/players/6b85f966/Valentin-Stocker
2018,Hertha BSC,Bundesliga,Jordan Torunarigha,GER,DF,19,1997,7.4,263,321,81.9,6444,1839,58,70,82.9,133,146,91.1,71,102,69.6,0,0.1,-0.1,1,21,0,0,15,https://fbref.com/en/players/f86cabbd/Jordan-Torunarigha
2018,Hertha BSC,Bundesliga,Mitchell Weiser,GER,"DF,FW",23,1994,22,844,1165,72.4,14718,7587,422,509,82.9,321,423,75.9,92,181,50.8,2,3.8,-1.8,38,78,28,14,111,https://fbref.com/en/players/30c220c3/Mitchell-Weiser
2018,Hoffenheim,Bundesliga,Kevin Akpoguma,NGA,DF,22,1995,18.8,866,1010,85.7,16641,5402,296,323,91.6,467,495,94.3,97,173,56.1,1,1.5,-0.5,7,72,4,0,67,https://fbref.com/en/players/6ec6fde0/Kevin-Akpoguma
2018,Hoffenheim,Bundesliga,Nadiem Amiri,GER,"MF,FW",20,1996,19.4,676,875,77.3,12100,3339,307,365,84.1,270,325,83.1,85,146,58.2,3,3.1,-0.1,30,66,29,3,101,https://fbref.com/en/players/555d5edd/Nadiem-Amiri
2018,Hoffenheim,Bundesliga,Oliver Baumann,GER,GK,27,1990,34,975,1405,69.4,27957,17825,220,222,99.1,417,427,97.7,329,745,44.2,0,0,0,0,13,0,0,1,https://fbref.com/en/players/47064058/Oliver-Baumann
2018,Hoffenheim,Bundesliga,Ermin Bičakčić,BIH,DF,27,1990,6.1,252,297,84.8,5133,1703,76,87,87.4,139,151,92.1,35,51,68.6,0,0,0,1,18,2,0,19,https://fbref.com/en/players/7aac47fe/Ermin-Bicakcic
2018,Hoffenheim,Bundesliga,Kerem Demirbay,GER,MF,24,1993,13.5,577,742,77.8,10671,3351,254,289,87.9,236,287,82.2,79,150,52.7,2,2.2,-0.2,31,53,18,3,74,https://fbref.com/en/players/54b4dc4e/Kerem-Demirbay
2018,Hoffenheim,Bundesliga,Dennis Geiger,GER,MF,19,1998,17.6,695,816,85.2,12734,2761,272,297,91.6,333,372,89.5,75,120,62.5,1,1.4,-0.4,25,57,19,1,71,https://fbref.com/en/players/37f606f0/Dennis-Geiger
2018,Hoffenheim,Bundesliga,Serge Gnabry,GER,"FW,DF",22,1995,16.7,404,537,75.2,6392,1920,218,259,84.2,152,198,76.8,26,51,51,5,3.2,1.8,22,21,26,6,49,https://fbref.com/en/players/88e357ef/Serge-Gnabry
2018,Hoffenheim,Bundesliga,Florian Grillitsch,AUT,MF,21,1995,21,876,1065,82.3,17688,4849,316,364,86.8,406,460,88.3,142,197,72.1,2,1.6,0.4,25,90,15,2,106,https://fbref.com/en/players/ffbbc83b/Florian-Grillitsch
2018,Hoffenheim,Bundesliga,Robin Hack,GER,"FW,DF",18,1998,0.8,12,18,66.7,209,62,3,5,60,9,9,100,0,2,0,0,0.1,-0.1,1,0,0,0,1,https://fbref.com/en/players/0174ba21/Robin-Hack
