Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,Gls,Ast,G_minus_PK,PK,PKatt,CrdY,CrdR,Gls_Per,Ast_Per,G+A_Per,G_minus_PK_Per,G+A_minus_PK_Per,xG_Expected,npxG_Expected,xA_Expected,npxG+xA_Expected,xG_Per,xA_Per,xG+xA_Per,npxG_Per,npxG+xA_Per,Url
2018,Augsburg,Bundesliga,Daniel Opare,GHA,"DF,MF",26,1990,17,17,1417,15.7,0,0,0,0,0,6,0,0,0,0,0,0,0.1,0.1,0.6,0.7,0.01,0.04,0.04,0.01,0.04,https://fbref.com/en/players/49d53c68/Daniel-Opare
2018,Augsburg,Bundesliga,Shawn Parker,GER,"DF,MF",24,1993,2,0,46,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0,0.09,https://fbref.com/en/players/b9ebc83e/Shawn-Parker
2018,Augsburg,Bundesliga,Marco Richter,GER,"FW,MF",19,1997,12,6,644,7.2,1,0,1,0,0,0,0,0.14,0,0.14,0.14,0.14,1,1,1.1,2.1,0.15,0.16,0.31,0.15,0.31,https://fbref.com/en/players/f972644c/Marco-Richter
2018,Augsburg,Bundesliga,Jonathan Schmid,FRA,"DF,FW",27,1990,25,15,1473,16.4,0,0,0,0,0,1,0,0,0,0,0,0,1.4,1.4,2,3.4,0.09,0.12,0.21,0.09,0.21,https://fbref.com/en/players/088ca1bd/Jonathan-Schmid
2018,Augsburg,Bundesliga,Kostas Stafylidis,GRE,DF,23,1993,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,https://fbref.com/en/players/861e0116/Kostas-Stafylidis
2018,Augsburg,Bundesliga,Erik Thommy,GER,FW,22,1994,6,2,167,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.6,0.9,0.17,0.34,0.51,0.17,0.51,https://fbref.com/en/players/df8e7b62/Erik-Thommy
2018,Bayern Munich,Bundesliga,David Alaba,AUT,DF,25,1992,23,17,1551,17.2,2,2,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,1,1,2.2,3.2,0.06,0.13,0.18,0.06,0.18,https://fbref.com/en/players/05439de2/David-Alaba
2018,Bayern Munich,Bundesliga,Thiago Alcántara,ESP,"MF,FW",26,1991,19,12,1247,13.9,2,2,2,0,0,3,0,0.14,0.14,0.29,0.14,0.29,2.3,2.3,2.4,4.7,0.16,0.17,0.34,0.16,0.34,https://fbref.com/en/players/77e84962/Thiago-Alcantara
2018,Bayern Munich,Bundesliga,Juan Bernat,ESP,"DF,FW",24,1993,11,11,888,9.9,0,2,0,0,0,1,0,0,0.2,0.2,0,0.2,0.7,0.7,1.3,2.1,0.08,0.13,0.21,0.08,0.21,https://fbref.com/en/players/433dc9a2/Juan-Bernat
2018,Bayern Munich,Bundesliga,Jérôme Boateng,GER,DF,28,1988,19,19,1640,18.2,1,2,1,0,0,4,0,0.05,0.11,0.16,0.05,0.16,0.9,0.9,1.2,2.2,0.05,0.07,0.12,0.05,0.12,https://fbref.com/en/players/2db2fd7b/Jerome-Boateng
