Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,MP_Playing,Starts_Playing,Min_Playing,Mins_Per_90_Playing,GA,GA90,SoTA,Saves,Save_percent,W,D,L,CS,CS_percent,PKatt_Penalty,PKA_Penalty,PKsv_Penalty,PKm_Penalty,Save_percent_Penalty,Url
2021,Saint-Étienne,Ligue 1,Etienne Green,ENG,GK,20,2000,8,8,720,8,8,1,24,18,75,4,1,3,3,37.5,4,2,1,1,33.3,https://fbref.com/en/players/667b65da/Etienne-Green
2021,Saint-Étienne,Ligue 1,Jessy Moulin,FRA,GK,34,1986,29,29,2610,29,42,1.45,100,61,62,8,9,12,9,31,4,4,0,0,0,https://fbref.com/en/players/28a65a2c/Jessy-Moulin
2021,Sampdoria,Serie A,Emil Audero,ITA,GK,23,1997,37,37,3330,37,54,1.46,165,117,71.5,14,7,16,6,16.2,9,7,2,0,22.2,https://fbref.com/en/players/649b01d8/Emil-Audero
2021,Sampdoria,Serie A,Karlo Letica,CRO,GK,23,1997,1,1,90,1,0,0,1,1,100,1,0,0,1,100,0,0,0,0,NA,https://fbref.com/en/players/4a6914ff/Karlo-Letica
2021,Sassuolo,Serie A,Andrea Consigli,ITA,GK,33,1987,37,37,3330,37,56,1.51,180,127,71.1,17,10,10,7,18.9,5,4,1,0,20,https://fbref.com/en/players/8cabdc1e/Andrea-Consigli
2021,Sassuolo,Serie A,Gianluca Pegolo,ITA,GK,39,1981,1,1,90,1,0,0,1,1,100,0,1,0,1,100,0,0,0,0,NA,https://fbref.com/en/players/f058ed1f/Gianluca-Pegolo
2021,Schalke 04,Bundesliga,Ralf Fährmann,GER,GK,31,1988,22,22,1876,20.8,50,2.4,139,94,66.2,3,3,16,3,13.6,4,3,1,0,25,https://fbref.com/en/players/1e43fad8/Ralf-Fahrmann
2021,Schalke 04,Bundesliga,Michael Langer,AUT,GK,35,1985,3,2,239,2.7,12,4.52,24,13,50,0,0,2,0,0,0,0,0,0,NA,https://fbref.com/en/players/d20f088b/Michael-Langer
2021,Schalke 04,Bundesliga,Frederik Rønnow,DEN,GK,27,1992,11,10,945,10.5,24,2.29,64,46,68.8,0,4,6,1,10,4,4,0,0,0,https://fbref.com/en/players/a70b8345/Frederik-Ronnow
2021,Sevilla,La Liga,Yassine Bounou,MAR,GK,29,1991,33,33,2970,33,28,0.85,100,78,76,21,5,7,15,45.5,6,4,2,0,33.3,https://fbref.com/en/players/f6798fc3/Yassine-Bounou
2021,Sevilla,La Liga,Tomáš Vaclík,CZE,GK,31,1989,5,5,450,5,5,1,14,9,64.3,3,0,2,2,40,0,0,0,0,NA,https://fbref.com/en/players/7b456af7/Tomas-Vaclik
2021,Sheffield Utd,Premier League,Aaron Ramsdale,ENG,GK,22,1998,38,38,3420,38,63,1.66,205,145,70.7,7,2,29,5,13.2,4,3,0,1,0,https://fbref.com/en/players/466fb2c5/Aaron-Ramsdale
2021,Southampton,Premier League,Fraser Forster,ENG,GK,32,1988,8,8,720,8,11,1.37,28,19,67.9,4,0,4,2,25,3,2,1,0,33.3,https://fbref.com/en/players/c3e39f12/Fraser-Forster
2021,Southampton,Premier League,Alex McCarthy,ENG,GK,30,1989,30,30,2700,30,57,1.9,141,90,63.8,8,7,15,7,23.3,6,6,0,0,0,https://fbref.com/en/players/36c2ca73/Alex-McCarthy
2021,Spezia,Serie A,Ivan Provedel,ITA,GK,26,1994,29,29,2610,29,55,1.9,124,74,60.5,6,10,13,4,13.8,7,6,1,0,14.3,https://fbref.com/en/players/277da414/Ivan-Provedel
2021,Spezia,Serie A,Rafael,BRA,GK,38,1982,3,2,207,2.3,5,2.17,19,14,73.7,0,1,1,1,50,0,0,0,0,NA,https://fbref.com/en/players/dd06d56c/Rafael
2021,Spezia,Serie A,Jeroen Zoet,NED,GK,29,1991,7,7,603,6.7,12,1.79,26,17,65.4,3,1,3,1,14.3,3,3,0,0,0,https://fbref.com/en/players/cc1a0c57/Jeroen-Zoet
2021,Strasbourg,Ligue 1,Bingourou Kamara,SEN,GK,23,1996,8,8,720,8,14,1.75,31,19,58.1,2,0,6,2,25,1,1,0,0,0,https://fbref.com/en/players/3814120d/Bingourou-Kamara
2021,Strasbourg,Ligue 1,Eiji Kawashima,JPN,GK,37,1983,24,24,2160,24,31,1.29,91,62,69.2,8,7,9,8,33.3,5,3,1,1,25,https://fbref.com/en/players/a4527d33/Eiji-Kawashima
2021,Strasbourg,Ligue 1,Matz Sels,BEL,GK,28,1992,6,6,540,6,13,2.17,25,14,56,1,2,3,0,0,2,2,0,0,0,https://fbref.com/en/players/834b5c4c/Matz-Sels
2021,Stuttgart,Bundesliga,Fabian Bredlow,GER,GK,25,1995,1,1,90,1,1,1,9,8,88.9,1,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/d28339cb/Fabian-Bredlow
2021,Stuttgart,Bundesliga,Gregor Kobel,SUI,GK,22,1997,33,33,2970,33,54,1.64,155,105,68.4,11,9,13,5,15.2,7,5,2,0,28.6,https://fbref.com/en/players/cd59b9df/Gregor-Kobel
2021,Torino,Serie A,Vanja Milinković-Savić,SRB,GK,23,1997,5,5,450,5,6,1.2,19,14,73.7,2,2,1,1,20,1,1,0,0,0,https://fbref.com/en/players/9fa26bc2/Vanja-Milinkovic-Savic
2021,Torino,Serie A,Salvatore Sirigu,ITA,GK,33,1987,32,32,2880,32,62,1.94,129,74,58.1,5,13,14,7,21.9,9,8,0,1,0,https://fbref.com/en/players/10dc46f0/Salvatore-Sirigu
2021,Torino,Serie A,Samir Ujkani,KVX,GK,32,1988,1,1,90,1,1,1,3,2,66.7,0,1,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/96640846/Samir-Ujkani
2021,Tottenham,Premier League,Hugo Lloris,FRA,GK,33,1986,38,38,3420,38,45,1.18,144,111,75.7,18,8,12,12,31.6,10,10,0,0,0,https://fbref.com/en/players/8f62b6ee/Hugo-Lloris
2021,Udinese,Serie A,Nícolas Andrade,BRA,GK,32,1988,2,2,180,2,5,2.5,7,2,28.6,1,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/326d09ef/Nicolas-Andrade
2021,Udinese,Serie A,Manuel Gasparini,ITA,GK,18,2002,1,0,3,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,https://fbref.com/en/players/7033ca08/Manuel-Gasparini
2021,Udinese,Serie A,Juan Musso,ARG,GK,26,1994,35,35,3147,35,51,1.46,140,102,72.9,9,10,16,8,22.9,13,13,0,0,0,https://fbref.com/en/players/a111cf41/Juan-Musso
2021,Udinese,Serie A,Simone Scuffet,ITA,GK,24,1996,1,1,90,1,2,2,3,2,66.7,0,0,1,0,0,1,1,0,0,0,https://fbref.com/en/players/41bd99ea/Simone-Scuffet
2021,Union Berlin,Bundesliga,Loris Karius,GER,GK,27,1993,4,3,292,3.2,1,0.31,5,5,80,1,2,0,2,66.7,0,0,0,0,NA,https://fbref.com/en/players/32e7ce92/Loris-Karius
2021,Union Berlin,Bundesliga,Andreas Luthe,GER,GK,33,1987,31,31,2768,30.8,42,1.37,123,84,69.1,11,12,8,5,16.1,5,4,1,0,20,https://fbref.com/en/players/7fe12375/Andreas-Luthe
2021,Valencia,La Liga,Jasper Cillessen,NED,GK,31,1989,10,10,900,10,11,1.1,45,33,77.8,5,1,4,3,30,2,1,1,0,50,https://fbref.com/en/players/04ac8285/Jasper-Cillessen
2021,Valencia,La Liga,Jaume Doménech,ESP,GK,29,1990,28,28,2520,28,42,1.5,124,86,69.4,5,12,11,4,14.3,6,4,2,0,33.3,https://fbref.com/en/players/c9cb972b/Jaume-Domenech
2021,Valladolid,La Liga,Jordi Masip,ESP,GK,31,1989,25,25,2250,25,40,1.6,112,74,67.9,4,9,12,2,8,4,4,0,0,0,https://fbref.com/en/players/8fae77ea/Jordi-Masip
2021,Valladolid,La Liga,Roberto,ESP,GK,34,1986,13,13,1170,13,17,1.31,43,28,65.1,1,7,5,1,7.7,3,2,0,1,0,https://fbref.com/en/players/ba3ca78f/Roberto
2021,Villarreal,La Liga,Sergio Asenjo,ESP,GK,31,1989,36,36,3240,36,41,1.14,114,83,70.2,15,13,8,10,27.8,9,7,1,1,12.5,https://fbref.com/en/players/9f0ea33f/Sergio-Asenjo
2021,Villarreal,La Liga,Gerónimo Rulli,ARG,GK,28,1992,2,2,180,2,4,2,8,4,50,0,0,2,0,0,0,0,0,0,NA,https://fbref.com/en/players/625c144a/Geronimo-Rulli
2021,Werder Bremen,Bundesliga,Jiří Pavlenka,CZE,GK,28,1992,34,34,3060,34,57,1.68,150,100,64.7,7,10,17,6,17.6,6,4,2,0,33.3,https://fbref.com/en/players/0a1cb833/Jiri-Pavlenka
2021,West Brom,Premier League,David Button,ENG,GK,31,1989,1,1,90,1,2,2,7,5,71.4,1,0,0,0,0,0,0,0,0,NA,https://fbref.com/en/players/e608ed4c/David-Button
2021,West Brom,Premier League,Sam Johnstone,ENG,GK,27,1993,37,37,3330,37,74,2,228,161,70.6,4,11,22,6,16.2,12,7,2,3,22.2,https://fbref.com/en/players/9e5708be/Sam-Johnstone
2021,West Ham,Premier League,Łukasz Fabiański,POL,GK,35,1985,35,35,3150,35,44,1.26,134,96,69.4,17,8,10,10,28.6,6,3,2,1,40,https://fbref.com/en/players/9328b835/Lukasz-Fabianski
2021,West Ham,Premier League,Darren Randolph,IRL,GK,33,1987,3,3,270,3,3,1,9,6,66.7,2,0,1,1,33.3,0,0,0,0,NA,https://fbref.com/en/players/6385ebfb/Darren-Randolph
2021,Wolfsburg,Bundesliga,Koen Casteels,BEL,GK,28,1992,32,32,2880,32,33,1.03,101,72,70.3,17,9,6,14,43.8,5,3,2,0,40,https://fbref.com/en/players/db401046/Koen-Casteels
2021,Wolfsburg,Bundesliga,Pavao Pervan,AUT,GK,32,1987,2,2,180,2,4,2,14,9,71.4,0,1,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/c89e8aae/Pavao-Pervan
2021,Wolves,Premier League,Rui Patrício,POR,GK,32,1988,37,37,3329,37,51,1.38,140,96,68.6,12,9,16,10,27,8,7,1,0,12.5,https://fbref.com/en/players/79b0d6a0/Rui-Patricio
2021,Wolves,Premier League,John Ruddy,ENG,GK,33,1986,2,1,91,1,1,0.99,4,3,75,0,0,1,0,0,0,0,0,0,NA,https://fbref.com/en/players/da8b19e2/John-Ruddy
