Season_End_Year,Squad,Comp,Player,Nation,Pos,Age,Born,Mins_Per_90,Touches_Touches,Def Pen_Touches,Def 3rd_Touches,Mid 3rd_Touches,Att 3rd_Touches,Att Pen_Touches,Live_Touches,Succ_Dribbles,Att_Dribbles,Succ_percent_Dribbles,#Pl_Dribbles,Megs_Dribbles,Carries_Carries,TotDist_Carries,PrgDist_Carries,Prog_Carries,Final_Third_Carries,CPA_Carries,Mis_Carries,Dis_Carries,Targ_Receiving,Rec_Receiving,Rec_percent_Receiving,Prog_Receiving,Url
2018,Hamburger SV,Bundesliga,Lewis Holtby,GER,"MF,FW",26,1990,13.3,764,13,132,388,285,42,725,17,26,65.4,17,2,508,2187,1026,49,12,9,19,27,603,473,78.4,87,https://fbref.com/en/players/410ab123/Lewis-Holtby
2018,Hamburger SV,Bundesliga,Aaron Hunt,GER,"MF,FW",30,1986,23.1,1475,28,150,727,684,68,1225,21,36,58.3,23,4,892,4512,2039,109,46,7,45,42,1176,893,75.9,174,https://fbref.com/en/players/5f9f0531/Aaron-Hunt
2018,Hamburger SV,Bundesliga,Tatsuya Ito,JPN,"MF,FW",20,1997,11.2,564,2,62,266,283,60,554,31,51,60.8,34,1,484,2775,1830,94,25,22,30,42,575,444,77.2,82,https://fbref.com/en/players/6743cef5/Tatsuya-Ito
2018,Hamburger SV,Bundesliga,Vasilije Janjicic,SUI,MF,18,1998,3.6,189,12,39,131,28,1,185,2,2,100,2,0,106,464,218,8,4,0,2,2,102,93,91.2,1,https://fbref.com/en/players/8279c033/Vasilije-Janjicic
2018,Hamburger SV,Bundesliga,Bakery Jatta,GAM,"MF,FW",19,1998,3.3,168,4,23,73,83,13,165,4,6,66.7,5,0,106,565,316,17,3,4,17,13,151,102,67.5,28,https://fbref.com/en/players/34c313d5/Bakery-Jatta
2018,Hamburger SV,Bundesliga,Gideon Jung,GER,"MF,DF",22,1994,28.6,1346,110,567,723,124,15,1318,16,24,66.7,17,1,824,3979,1969,66,10,1,18,14,822,746,90.8,42,https://fbref.com/en/players/a2e7de6f/Gideon-Jung
2018,Hamburger SV,Bundesliga,Törles Knöll,GER,MF,19,1997,0.2,5,0,0,5,0,0,5,0,0,NA,0,0,4,5,0,0,0,0,1,0,7,4,57.1,2,https://fbref.com/en/players/b883006f/Torles-Knoll
2018,Hamburger SV,Bundesliga,Filip Kostić,SRB,"FW,MF",24,1992,27.1,1178,14,143,463,650,120,1122,43,95,45.3,48,1,809,4392,2678,128,41,28,63,70,1098,767,69.9,237,https://fbref.com/en/players/b1cd37e6/Filip-Kostic
2018,Hamburger SV,Bundesliga,Christian Mathenia,GER,GK,25,1992,24,743,622,741,3,0,0,495,0,0,NA,0,0,340,1601,838,0,0,0,0,0,283,280,98.9,0,https://fbref.com/en/players/4a15e95b/Christian-Mathenia
2018,Hamburger SV,Bundesliga,Ville Matti Steinmann,GER,MF,22,1995,6.6,491,23,131,331,54,7,473,10,12,83.3,10,1,331,1710,818,23,3,2,4,9,306,294,96.1,5,https://fbref.com/en/players/ee57792b/Ville-Matti-Steinmann
2018,Hamburger SV,Bundesliga,Mërgim Mavraj,ALB,DF,31,1986,16.1,914,116,489,432,36,14,876,5,5,100,5,0,433,2715,1326,28,6,0,2,2,431,420,97.4,7,https://fbref.com/en/players/0eb5720b/Mergim-Mavraj
2018,Hamburger SV,Bundesliga,Nicolai Müller,GER,"DF,MF",29,1987,1.1,17,0,1,10,10,2,17,0,1,0,0,0,12,60,35,2,2,0,1,0,17,12,70.6,2,https://fbref.com/en/players/5e1df051/Nicolai-Muller
2018,Hamburger SV,Bundesliga,Kyriakos Papadopoulos,GRE,DF,25,1992,29,1583,220,791,776,84,52,1506,2,4,50,4,0,714,3756,2089,52,4,0,6,2,739,702,95,40,https://fbref.com/en/players/931b7c30/Kyriakos-Papadopoulos
2018,Hamburger SV,Bundesliga,Julian Pollersbeck,GER,GK,22,1994,10,566,316,535,45,0,0,473,0,0,NA,0,0,392,2047,1213,0,0,0,0,0,354,351,99.2,0,https://fbref.com/en/players/d6f6ce93/Julian-Pollersbeck
